run_id,algorithm,reward_fn,seed,learning_speed,final_performance,eval_success_rate,stability_variance
PPO_dense_seed42,PPO,dense,42,1775,-119.64,100.0,357.3504
PPO_sparse_seed42,PPO,sparse,42,failed,-200.0,0.0,0.0
PPO_potential_based_seed42,PPO,potential_based,42,1976,-125.41,100.0,456.2819
PPO_dense_seed123,PPO,dense,123,2441,-122.12,100.0,369.3656
PPO_sparse_seed123,PPO,sparse,123,4761,-131.5,100.0,865.99
PPO_potential_based_seed123,PPO,potential_based,123,2573,-119.16,100.0,409.0144
PPO_dense_seed456,PPO,dense,456,1975,-120.33,100.0,277.1611
PPO_sparse_seed456,PPO,sparse,456,failed,-200.0,0.0,0.0
PPO_potential_based_seed456,PPO,potential_based,456,3438,-120.92,99.0,325.3136
A2C_dense_seed42,A2C,dense,42,failed,-133.14,100.0,264.9804
A2C_sparse_seed42,A2C,sparse,42,failed,-200.0,0.0,0.0
A2C_potential_based_seed42,A2C,potential_based,42,failed,-200.0,0.0,0.0
A2C_dense_seed123,A2C,dense,123,4507,-137.49,100.0,304.5499
A2C_sparse_seed123,A2C,sparse,123,failed,-200.0,0.0,0.0
A2C_potential_based_seed123,A2C,potential_based,123,failed,-200.0,0.0,0.0
A2C_dense_seed456,A2C,dense,456,2558,-129.0,100.0,440.82
A2C_sparse_seed456,A2C,sparse,456,failed,-200.0,0.0,0.0
A2C_potential_based_seed456,A2C,potential_based,456,failed,-200.0,0.0,0.0
